trial_idx,B,J,K,human_choice,model_choice,lp_B,lp_J,lp_K,prob_B,prob_J,prob_K,nll,correct,model
0,prune,nail polish,diskette,K,B,0.0,-17.135417938232422,-18.59375,0.9999999554330281,3.615617876332948e-08,8.410793255107117e-09,18.59375,False,Llama-3.3-70B-Instruct
1,ladle,water bottle,pug,K,K,-20.364585876464844,-38.489585876464844,0.0,1.4314386092832248e-09,1.923912172864913e-17,0.9999999985685615,-0.0,True,Llama-3.3-70B-Instruct
2,punch,hair,lollipop,J,J,-5.576706886291504,-0.0037928535602986813,-14.32671070098877,0.0037850097135256147,0.9962143905111076,5.997753668154432e-07,0.0037928535602986813,True,Llama-3.3-70B-Instruct
3,oar,mug,macaroni,B,B,-0.0036008739843964577,-5.62860107421875,-14.066104888916016,0.9964056225945223,0.003593599067406148,7.783380717468073e-07,0.0036008739843964577,True,Llama-3.3-70B-Instruct
4,towel,hot tub,mallet,K,K,-6.6159257888793945,-27.345088958740234,-0.0013397366274148226,0.0013388746597556424,1.3310021065063792e-12,0.9986611253389133,0.0013397366274148226,True,Llama-3.3-70B-Instruct
5,train set,hot-water bottle,treasure,J,B,-0.08320984989404678,-8.208209991455078,-2.5311241149902344,0.9201580645689166,0.00027240790727259636,0.07956952752381094,8.208209991455078,False,Llama-3.3-70B-Instruct
6,shutter,cleaver,toe,K,K,-8.90638542175293,-24.37513542175293,-0.00013555014447774738,0.0001355208030179185,2.594258207727237e-11,0.9998644791710394,0.00013555014447774738,True,Llama-3.3-70B-Instruct
7,straw,sweeper,baton,J,B,0.0,-22.65625,-20.208332061767578,0.9999999981817564,1.4471569797587032e-10,1.6735276660141486e-09,22.65625,False,Llama-3.3-70B-Instruct
8,footprint,beehive,skunk,B,B,-5.364562093745917e-05,-9.843803405761719,-14.322967529296875,0.999946322916416,5.307505900403695e-05,6.020245798231029e-07,5.364562093745917e-05,True,Llama-3.3-70B-Instruct
9,cash machine,thermostat,mandolin,K,K,-4.748290061950684,-19.592041015625,-0.008704228326678276,0.008666501300100497,3.099450298502058e-09,0.9913334956004491,0.008704228326678276,True,Llama-3.3-70B-Instruct
10,orange,throne,stir fry,J,B,-0.0025019326712936163,-5.9920878410339355,-14.950419425964355,0.9975012361935734,0.0024984423549988853,3.2145142792861487e-07,5.9920878410339355,False,Llama-3.3-70B-Instruct
11,boy,burrito,microscope,J,K,-20.312503814697266,-40.520835876464844,0.0,1.507966449115601e-09,2.5236235766046373e-18,0.9999999984920336,40.520835876464844,False,Llama-3.3-70B-Instruct
12,pheasant,sponge,orchid,J,J,-5.73240852355957,-0.0032444719690829515,-17.76365852355957,0.003239265752448626,0.9967607149571576,1.9290393820059523e-08,0.0032444719690829515,True,Llama-3.3-70B-Instruct
13,forklift,clipper,hip,J,K,-5.732416152954102,-25.055330276489258,-0.0032444719690829515,0.0032392411814032803,1.314039157071984e-11,0.9967607588054562,25.055330276489258,False,Llama-3.3-70B-Instruct
14,candelabra,beard,glue,J,B,-0.012510868720710278,-13.554179191589355,-4.387510776519775,0.987567065501393,1.2986579239452148e-06,0.012431635840683061,13.554179191589355,False,Llama-3.3-70B-Instruct
15,raccoon,hammer,roulette wheel,B,B,-2.622607780722319e-06,-12.864588737487793,-22.395837783813477,0.9999974117178293,2.5880944072001962e-06,1.8776353271783708e-10,2.622607780722319e-06,True,Llama-3.3-70B-Instruct
16,wing,beanie,girl,B,K,-2.34078311920166,-21.0387020111084,-0.10120493918657303,0.09625222855778418,7.2947060453172e-10,0.9037477707127451,2.34078311920166,False,Llama-3.3-70B-Instruct
17,piggy bank,footrest,sandal,B,B,0.0,-23.28125,-19.375,0.9999999960717973,7.746073106424811e-11,3.850741907641122e-09,-0.0,True,Llama-3.3-70B-Instruct
18,knee,cornhusk,tuning fork,B,K,-12.760424613952637,-22.604169845581055,-2.861027041944908e-06,2.8722219609704213e-06,1.524522235851023e-10,0.9999971276255868,12.760424613952637,False,Llama-3.3-70B-Instruct
19,anklet,bedpost,ice cube,B,K,-10.104212760925293,-20.989625930786133,-4.08896230510436e-05,4.090686012490251e-05,7.661631727433748e-10,0.9999590923737119,10.104212760925293,False,Llama-3.3-70B-Instruct
20,mannequin,stove,coin,K,J,-0.7516793608665466,-0.6475076675415039,-5.282929420471191,0.47157394906187816,0.5233485161389411,0.005077534799180749,5.282929420471191,False,Llama-3.3-70B-Instruct
21,tortellini,cantaloupe,sequin,K,B,-0.42966943979263306,-1.0546693801879883,-6.94008731842041,0.6507242190446022,0.348307595818468,0.0009681851369298646,6.94008731842041,False,Llama-3.3-70B-Instruct
22,coffee filter,fingerprint,rose,B,J,-6.31174898147583,-0.009663091041147709,-4.853413105010986,0.0018148562991693374,0.9903834397346816,0.007801703966149074,6.31174898147583,False,Llama-3.3-70B-Instruct
23,porcupine,christmas tree,corkscrew,B,B,-0.2199316918849945,-1.6261816024780273,-7.199095726013184,0.8025736016056022,0.19667913717817712,0.0007472612162206392,0.2199316918849945,True,Llama-3.3-70B-Instruct
24,freezer,coat rack,puffin,K,K,-25.989582061767578,-42.421875,0.0,5.1625934207672006e-12,3.7706287580662286e-19,0.9999999999948375,-0.0,True,Llama-3.3-70B-Instruct
25,maggot,mouth,stockings,B,K,-3.4187803268432617,-9.668784141540527,-0.03336608409881592,0.032752357484932285,6.322668278688212e-05,0.9671844158322809,3.4187803268432617,False,Llama-3.3-70B-Instruct
26,soap,hot-water bottle,knitting needle,K,K,-4.954987049102783,-26.152904510498047,-0.007073145359754562,0.00704817168589051,4.384679896086988e-12,0.9929518283097248,0.007073145359754562,True,Llama-3.3-70B-Instruct
27,mosquito net,baklava,beanbag,J,J,-15.677085876464844,-1.1920930376163597e-07,-17.5,1.554275799206581e-07,0.9999998194624302,2.510999001748721e-08,1.1920930376163597e-07,True,Llama-3.3-70B-Instruct
28,skewer,baklava,propeller,K,K,-20.260417938232422,-28.567707061767578,0.0,1.5885916946749358e-09,3.9192454403453555e-13,0.9999999984110164,-0.0,True,Llama-3.3-70B-Instruct
29,nail polish,goose,pizza,J,B,-4.22009798057843e-05,-10.156288146972656,-12.604206085205078,0.9999578110010318,3.8831136894542544e-05,3.3578620736364835e-06,10.156288146972656,False,Llama-3.3-70B-Instruct
30,face mask,cinnamon,toilet paper,B,J,-19.0625,0.0,-20.833332061767578,5.2633401292897985e-09,0.999999993840885,8.957748052883415e-10,19.0625,False,Llama-3.3-70B-Instruct
31,bag,eel,trampoline,J,B,-0.014317658729851246,-6.316403388977051,-4.389317512512207,0.9857843753461235,0.00180642890220727,0.012409195751669187,6.316403388977051,False,Llama-3.3-70B-Instruct
32,lightbulb,moose,curling iron,J,J,-22.500003814697266,0.0,-31.119792938232422,1.69189146826276e-10,0.9999999998307803,3.053835567045318e-14,-0.0,True,Llama-3.3-70B-Instruct
33,dumbwaiter,jigsaw puzzle,lamb,K,K,-22.604167938232422,-34.63541793823242,0.0,1.5245251607224213e-10,9.078813838196026e-16,0.9999999998475466,-0.0,True,Llama-3.3-70B-Instruct
34,eyeliner,shopping basket,flipper,K,B,-0.004905314184725285,-5.7861552238464355,-6.306991100311279,0.9951067260370436,0.00306976215327172,0.001823511809684411,6.306991100311279,False,Llama-3.3-70B-Instruct
35,bowtie,wooden leg,kangaroo,K,B,-0.44724011421203613,-9.561821937561035,-1.020154356956482,0.639390355620796,7.036448128614214e-05,0.3605392798979178,1.020154356956482,False,Llama-3.3-70B-Instruct
36,puffin,wire cutters,battery,B,B,0.0,-25.182289123535156,-23.489582061767578,0.9999999999255331,1.1573661918759918e-11,6.289326316570513e-11,-0.0,True,Llama-3.3-70B-Instruct
37,toilet,rack,star fruit,K,B,-0.007449950557202101,-18.549114227294922,-4.903278350830078,0.99257778030876,8.794721032275344e-09,0.007422210896519108,4.903278350830078,False,Llama-3.3-70B-Instruct
38,stingray,cork,fire pit,B,B,-8.344653679159819e-07,-14.166672706604004,-16.250003814697266,0.9999992084882051,7.038696433351705e-07,8.764215163005289e-08,8.344653679159819e-07,True,Llama-3.3-70B-Instruct
39,bun,snow,tinsel,J,B,0.0,-24.479167938232422,-29.895835876464844,0.9999999999765168,2.3379350550699855e-11,1.0384926973977717e-13,24.479167938232422,False,Llama-3.3-70B-Instruct
40,almond,trailer,paper,B,B,-5.579150456469506e-05,-9.843806266784668,-12.812559127807617,0.9999441987752291,5.307490830309879e-05,2.7263164677279945e-06,5.579150456469506e-05,True,Llama-3.3-70B-Instruct
41,anteater,chalice,wedge,B,B,0.0,-21.302082061767578,-24.348957061767578,0.9999999994128077,5.605615524795159e-10,2.6630683168070434e-11,-0.0,True,Llama-3.3-70B-Instruct
42,scone,pie,ant,K,K,-28.046875,-inf,0.0,6.597766673216057e-13,0.0,0.9999999999993403,-0.0,True,Llama-3.3-70B-Instruct
43,heater,aircraft carrier,joystick,B,B,0.0,-26.354167938232422,-25.494792938232422,0.9999999999879472,3.5853395285995183e-12,8.46743964365736e-12,-0.0,True,Llama-3.3-70B-Instruct
44,comic book,playing card,organ,K,K,-22.447914123535156,-34.166664123535156,0.0,1.782357286144653e-10,1.4507958547376268e-15,0.9999999998217628,-0.0,True,Llama-3.3-70B-Instruct
45,flag,measuring cup,strawberry,B,B,-5.3287971240933985e-05,-15.312557220458984,-9.843803405761719,0.9999467011497922,2.2379011011834985e-07,5.307506009759079e-05,5.3287971240933985e-05,True,Llama-3.3-70B-Instruct
46,bunkbed,tractor,windshield,B,J,-14.375000953674316,-5.960466182841628e-07,-21.927085876464844,5.715002424780121e-07,0.9999994281997117,3.000458402179535e-10,14.375000953674316,False,Llama-3.3-70B-Instruct
47,aircraft carrier,prism,turban,K,B,0.0,-18.749996185302734,-19.895832061767578,0.9999999905183986,7.194160405605165e-09,2.2874410919826876e-09,19.895832061767578,False,Llama-3.3-70B-Instruct
48,egg,scrambled egg,doorknocker,K,K,-35.18229293823242,-inf,0.0,5.254414338417498e-16,0.0,0.9999999999999996,-0.0,True,Llama-3.3-70B-Instruct
49,microscope,stained glass,strainer,J,B,-8.225474630307872e-06,-11.718758583068848,-17.031261444091797,0.9999918201854175,8.139689387658065e-06,4.012519488884326e-08,11.718758583068848,False,Llama-3.3-70B-Instruct
